time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-11-08,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-09,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-10,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-11,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-14,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-15,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-16,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-17,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-18,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-21,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-22,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-23,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-24,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-25,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-28,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-29,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-11-30,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-01,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-02,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-05,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-06,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-07,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-08,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-09,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-12,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-13,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-14,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-15,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-16,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-19,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-20,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-21,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-22,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-23,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-26,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-27,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-28,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-29,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2016-12-30,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-03,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-04,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-05,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-06,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-09,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-10,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-11,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-12,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-13,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-16,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-17,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-18,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-19,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-20,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-23,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-24,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-01-25,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-02,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-03,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-06,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-07,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-08,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-09,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-10,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-13,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-14,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-15,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-16,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-17,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-20,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-21,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-22,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-23,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-24,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-27,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-02-28,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-01,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-02,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-03,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-06,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-07,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-08,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-09,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-10,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-13,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-14,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-15,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-16,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-17,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-20,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-21,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-22,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-23,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-24,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-27,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-28,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-29,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-30,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-03-31,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-03,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-04,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-05,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-07,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-10,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-11,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-12,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-13,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-14,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-17,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-18,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-19,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-20,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-21,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-24,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-25,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-26,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-27,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-04-28,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-03,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-04,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-05,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-08,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-09,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-10,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-11,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-12,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-15,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-16,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-17,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-18,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-19,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-22,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-23,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-24,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-25,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-26,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-29,5.354,5.354,5.354,5.354,0,0.0,,,,,,,,
2017-05-30,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-05-31,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-01,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-02,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-05,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-06,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-07,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-08,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-09,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-12,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-13,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-14,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-15,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-16,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-19,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-20,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-21,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-22,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-23,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-26,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-27,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-28,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-29,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-06-30,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-03,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-04,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-05,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-06,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-07,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-10,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-11,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-12,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-13,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-14,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-17,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-18,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-19,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-20,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-21,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-24,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-25,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-26,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-27,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-28,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-07-31,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-01,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-02,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-03,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-04,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-07,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-08,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-09,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-10,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-11,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-14,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-15,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-16,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-17,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-18,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-21,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-22,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-23,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-24,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-25,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-28,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-29,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-30,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-08-31,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-01,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-05,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-06,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-07,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-08,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-11,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-12,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-13,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-14,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-15,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-18,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-19,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-20,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-21,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-22,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-25,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-26,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-27,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-28,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-09-29,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-02,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-03,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-04,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-05,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-06,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-09,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-10,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-11,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-12,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-13,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-16,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-17,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-18,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-19,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-20,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-23,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-24,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-25,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-26,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-27,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-30,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-10-31,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-01,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-02,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-03,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-06,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-07,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-08,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-09,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-10,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-13,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-14,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-15,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-16,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-17,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-20,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-21,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-22,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-23,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-24,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-27,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
2017-11-28,5.353,5.353,5.353,5.353,0,0.0,,,,,,,,
