time,open,high,low,close,volume,value,foreign_buy_vol,foreign_sell_vol,foreign_buy_val,foreign_sell_val,foreign_room,foreign_ownership_pct,foreign_buy_value_bn,foreign_sell_value_bn
2016-11-30,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-01,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-02,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-05,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-07,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-08,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-09,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-12,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-13,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-14,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-15,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-16,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-19,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-20,8.109,8.109,8.109,8.109,3200,25948.8,,,,,,,,
2016-12-21,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-22,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-23,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-26,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-27,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-28,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-29,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2016-12-30,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-03,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-04,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-05,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-09,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-10,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-11,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-12,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-13,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-16,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-17,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-18,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-19,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-20,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-23,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-24,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-01-25,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-02,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-03,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-07,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-08,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-09,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-10,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-13,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-14,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-15,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-16,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-17,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-20,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-21,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-22,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-23,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-24,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-27,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-02-28,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-01,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-02,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-03,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-07,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-08,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-09,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-10,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-13,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-14,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-15,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-16,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-17,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-20,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-21,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-22,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-23,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-24,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-27,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-28,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-29,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-30,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-03-31,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-03,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-04,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-05,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-07,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-10,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-11,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-12,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-13,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-14,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-17,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-18,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-19,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-20,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-21,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-24,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-25,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-26,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-27,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-04-28,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-03,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-04,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-05,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-08,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-09,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-10,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-11,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-12,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-15,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-16,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-17,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-18,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-19,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-22,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-23,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-24,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-25,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-26,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-29,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-30,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-05-31,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-06-01,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-06-02,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-06-05,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-06-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-06-07,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-06-08,8.187,8.187,8.187,8.187,13000,106431.0,,,,,,,,
2017-06-09,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-12,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-13,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-14,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-15,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-16,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-19,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-20,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-21,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-22,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-23,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-26,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-27,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-28,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-29,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-06-30,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-03,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-04,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-05,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-06,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-07,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-10,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-11,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-12,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-13,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-14,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-17,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-18,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-19,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-20,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-21,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-24,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-25,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-26,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-27,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-28,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-07-31,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-01,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-02,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-03,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-04,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-07,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-08,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-09,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-10,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-11,8.187,8.187,8.187,8.187,0,0.0,,,,,,,,
2017-08-14,8.109,8.109,8.109,8.109,61600,499514.4,,,,,,,,
2017-08-15,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-16,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-17,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-18,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-21,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-22,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-23,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-24,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-25,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-28,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-29,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-30,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-08-31,8.109,8.109,8.109,8.109,23600,191372.4,,,,,,,,
2017-09-01,8.109,8.109,8.109,8.109,3900,31625.1,,,,,,,,
2017-09-05,8.109,8.109,8.109,8.109,300,2432.7,,,,,,,,
2017-09-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-07,8.109,8.109,8.109,8.109,10000,81090.0,,,,,,,,
2017-09-08,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-11,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-12,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-13,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-14,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-15,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-18,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-19,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-20,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-21,8.109,8.109,8.109,8.109,25800,209212.2,,,,,,,,
2017-09-22,8.109,8.109,8.109,8.109,13200,107038.8,,,,,,,,
2017-09-25,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-26,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-27,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-28,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-09-29,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-02,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-03,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-04,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-05,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-09,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-10,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-11,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-12,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-13,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-16,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-17,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-18,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-19,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-20,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-23,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-24,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-25,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-26,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-27,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-30,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-10-31,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-01,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-02,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-03,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-07,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-08,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-09,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-10,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-13,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-14,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-15,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-16,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-17,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-20,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-21,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-22,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-23,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-24,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-27,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-28,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-29,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-11-30,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-12-01,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-12-04,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-12-05,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-12-06,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-12-07,8.109,8.109,8.109,8.109,0,0.0,,,,,,,,
2017-12-08,5.458,5.458,5.458,5.458,1300,7095.400000000001,,,,,,,,
2017-12-11,5.458,5.458,5.458,5.458,0,0.0,,,,,,,,
2017-12-12,5.458,5.458,5.458,5.458,0,0.0,,,,,,,,
2017-12-13,5.458,5.458,5.458,5.458,0,0.0,,,,,,,,
2017-12-14,5.458,5.458,5.458,5.458,0,0.0,,,,,,,,
2017-12-15,5.458,5.458,5.458,5.458,0,0.0,,,,,,,,
2017-12-18,5.458,5.458,5.458,5.458,0,0.0,,,,,,,,
